City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Aras,ES,2020-03-01 16:40:41,42.56,-2.36,64.4,34,98,13.87,overcast clouds,0.0,0.0
1,Butaritari,KI,2020-03-01 16:40:41,3.07,172.79,83.16,80,69,21.0,light rain,0.19,0.0
2,Port Alfred,ZA,2020-03-01 16:40:42,-33.59,26.89,69.01,84,0,5.01,clear sky,0.0,0.0
3,Naryan-Mar,RU,2020-03-01 16:40:42,67.67,53.09,15.57,93,100,16.78,light snow,0.0,0.31
4,Umm Lajj,SA,2020-03-01 16:40:42,25.02,37.27,64.71,57,0,11.9,clear sky,0.0,0.0
5,Georgetown,MY,2020-03-01 16:37:54,5.41,100.34,84.2,88,20,1.95,few clouds,0.0,0.0
6,Rikitea,PF,2020-03-01 16:40:42,-23.12,-134.97,80.19,80,100,12.1,light rain,1.69,0.0
7,Ribeira Grande,PT,2020-03-01 16:40:42,38.52,-28.7,64.4,88,75,23.04,broken clouds,0.0,0.0
8,Hermanus,ZA,2020-03-01 16:40:43,-34.42,19.23,73.99,73,50,11.01,scattered clouds,0.0,0.0
9,Mataura,NZ,2020-03-01 16:40:43,-46.19,168.86,52.0,92,56,1.99,broken clouds,0.0,0.0
10,Canico,PT,2020-03-01 16:40:43,32.63,-16.85,69.01,77,40,3.36,scattered clouds,0.0,0.0
11,Fallon,US,2020-03-01 16:40:43,39.47,-118.78,30.99,92,90,13.87,light snow,0.0,0.0
12,Vila Franca Do Campo,PT,2020-03-01 16:40:44,37.72,-25.43,64.4,77,40,23.04,scattered clouds,0.0,0.0
13,Busselton,AU,2020-03-01 16:40:44,-33.65,115.33,61.0,38,0,15.01,clear sky,0.0,0.0
14,Leningradskiy,RU,2020-03-01 16:40:44,69.38,178.42,-1.5,86,100,18.88,overcast clouds,0.0,0.0
15,Labuhan,ID,2020-03-01 16:40:44,-6.88,112.21,75.16,94,100,3.15,overcast clouds,0.0,0.0
16,Cayenne,GF,2020-03-01 16:40:45,4.93,-52.33,84.2,70,75,10.29,broken clouds,0.0,0.0
17,Mahebourg,MU,2020-03-01 16:36:39,-20.41,57.7,81.0,88,40,2.24,scattered clouds,0.0,0.0
18,Ushuaia,AR,2020-03-01 16:36:14,-54.8,-68.3,55.4,54,75,18.34,broken clouds,0.0,0.0
19,Saldanha,ZA,2020-03-01 16:40:45,-33.01,17.94,78.8,39,5,5.82,clear sky,0.0,0.0
20,Yellowknife,CA,2020-03-01 16:40:27,62.46,-114.35,-20.0,73,20,6.93,few clouds,0.0,0.0
21,Qaanaaq,GL,2020-03-01 16:40:46,77.48,-69.36,-23.75,61,31,7.27,scattered clouds,0.0,0.0
22,Jamestown,US,2020-03-01 16:40:46,42.1,-79.24,35.01,68,1,6.93,clear sky,0.0,0.0
23,Barrow,US,2020-03-01 16:40:46,71.29,-156.79,-18.4,75,1,12.75,clear sky,0.0,0.0
24,Torbay,CA,2020-03-01 16:40:47,47.67,-52.73,30.0,73,90,17.22,light snow,0.0,0.0
25,Airai,TL,2020-03-01 16:40:47,-8.93,125.41,68.07,83,100,5.5,overcast clouds,0.0,0.0
26,Avarua,CK,2020-03-01 16:40:47,-21.21,-159.78,78.8,88,52,5.82,light rain,1.06,0.0
27,Kamsack,CA,2020-03-01 16:40:47,51.57,-101.9,23.0,85,90,26.4,mist,0.0,0.0
28,Meulaboh,ID,2020-03-01 16:40:48,4.14,96.13,85.5,69,75,2.68,broken clouds,0.0,0.0
29,Beringovskiy,RU,2020-03-01 16:40:48,63.05,179.32,-5.64,86,0,8.86,clear sky,0.0,0.0
30,Punta Arenas,CL,2020-03-01 16:40:48,-53.15,-70.92,60.8,51,40,17.22,scattered clouds,0.0,0.0
31,Kruisfontein,ZA,2020-03-01 16:40:48,-34.0,24.73,67.32,85,0,6.08,clear sky,0.0,0.0
32,Bredasdorp,ZA,2020-03-01 16:40:48,-34.53,20.04,73.99,56,40,11.41,scattered clouds,0.0,0.0
33,Puerto Escondido,MX,2020-03-01 16:40:49,15.85,-97.07,84.2,89,5,5.82,clear sky,0.0,0.0
34,Bluff,NZ,2020-03-01 16:40:49,-46.6,168.33,52.0,92,56,4.56,broken clouds,0.0,0.0
35,Mount Gambier,AU,2020-03-01 16:40:49,-37.83,140.77,53.6,81,75,16.11,broken clouds,0.0,0.0
36,New Norfolk,AU,2020-03-01 16:40:49,-42.78,147.06,54.0,93,90,17.22,moderate rain,0.0,0.0
37,Carnarvon,AU,2020-03-01 16:40:49,-24.87,113.63,78.8,88,0,10.29,clear sky,0.0,0.0
38,Hobart,AU,2020-03-01 16:39:39,-42.88,147.33,54.0,93,90,17.22,moderate rain,0.0,0.0
39,Chuka,KE,2020-03-01 16:40:50,-0.33,37.65,68.34,81,100,6.78,light rain,1.94,0.0
40,Marsh Harbour,BS,2020-03-01 16:40:50,26.54,-77.06,67.3,56,22,16.35,few clouds,0.0,0.0
41,Metu,ET,2020-03-01 16:40:50,8.3,35.58,72.07,28,89,3.31,overcast clouds,0.0,0.0
42,Presidencia Roque Saenz Pena,AR,2020-03-01 16:40:50,-26.79,-60.44,93.38,18,0,7.63,clear sky,0.0,0.0
43,Yongan,CN,2020-03-01 16:40:51,39.7,113.69,21.58,31,6,4.68,clear sky,0.0,0.0
44,Beyneu,KZ,2020-03-01 16:40:51,45.32,55.2,42.55,74,100,11.86,overcast clouds,0.0,0.0
45,Cape Town,ZA,2020-03-01 16:38:52,-33.93,18.42,71.01,72,49,18.34,scattered clouds,0.0,0.0
46,Port Elizabeth,ZA,2020-03-01 16:40:51,-33.92,25.57,73.4,73,0,19.46,clear sky,0.0,0.0
47,Iqaluit,CA,2020-03-01 16:37:49,63.75,-68.51,-16.01,68,20,11.41,few clouds,0.0,0.0
48,Barra Patuca,HN,2020-03-01 16:40:52,15.8,-84.28,78.1,74,90,12.46,light rain,0.25,0.0
49,Eyl,SO,2020-03-01 16:40:52,7.98,49.82,77.49,79,0,19.37,clear sky,0.0,0.0
50,Severnoye,RU,2020-03-01 16:40:52,56.35,78.36,27.59,86,100,10.0,overcast clouds,0.0,0.0
51,Kavieng,PG,2020-03-01 16:40:53,-2.57,150.8,83.7,72,43,1.41,moderate rain,4.31,0.0
52,Nelson Bay,AU,2020-03-01 16:39:45,-32.72,152.15,73.99,88,70,3.36,broken clouds,0.0,0.0
53,Vaini,TO,2020-03-01 16:40:53,-21.2,-175.2,78.8,83,20,9.17,few clouds,0.0,0.0
54,Novita,CO,2020-03-01 16:40:53,4.96,-76.61,86.5,63,84,2.71,light rain,1.13,0.0
55,Lulea,SE,2020-03-01 16:40:53,65.58,22.15,17.6,85,75,5.82,broken clouds,0.0,0.0
56,Atuona,PF,2020-03-01 16:40:54,-9.8,-139.03,82.0,77,36,18.79,scattered clouds,0.0,0.0
57,Gizo,SB,2020-03-01 16:40:54,-8.1,156.84,76.48,85,7,5.32,clear sky,0.0,0.0
58,Akyab,MM,2020-03-01 16:40:54,20.15,92.9,70.48,75,0,4.34,clear sky,0.0,0.0
59,Sechura,PE,2020-03-01 16:40:54,-5.56,-80.82,75.58,86,100,10.8,overcast clouds,0.0,0.0
60,Paragominas,BR,2020-03-01 16:40:55,-2.97,-47.48,90.12,58,13,2.59,light rain,0.5,0.0
61,Rabo De Peixe,PT,2020-03-01 16:40:55,37.8,-25.58,64.4,77,40,23.04,scattered clouds,0.0,0.0
62,Tuktoyaktuk,CA,2020-03-01 16:40:55,69.45,-133.04,-29.2,66,40,2.24,scattered clouds,0.0,0.0
63,Chokurdakh,RU,2020-03-01 16:40:56,70.63,147.92,-5.44,90,8,11.12,clear sky,0.0,0.0
64,Bahia De Caraquez,EC,2020-03-01 16:40:56,-0.6,-80.42,78.8,94,90,6.93,light intensity drizzle,0.0,0.0
65,Matara,LK,2020-03-01 16:40:56,5.95,80.54,76.46,82,18,7.94,few clouds,0.0,0.0
66,Khatanga,RU,2020-03-01 16:40:56,71.97,102.5,7.77,77,100,12.37,overcast clouds,0.0,0.0
67,Saint George,US,2020-03-01 16:36:54,37.1,-113.58,51.8,37,1,3.36,clear sky,0.0,0.0
68,Dikson,RU,2020-03-01 16:40:57,73.51,80.55,21.97,92,100,29.39,light snow,0.0,1.06
69,Miraflores,MX,2020-03-01 16:40:57,19.22,-98.81,75.2,34,5,4.7,clear sky,0.0,0.0
70,Glens Falls,US,2020-03-01 16:36:32,43.31,-73.64,32.0,53,1,5.12,clear sky,0.0,0.0
71,Palmer,US,2020-03-01 16:40:57,42.16,-72.33,33.01,33,20,19.46,few clouds,0.0,0.0
72,Taoudenni,ML,2020-03-01 16:40:58,22.68,-3.98,84.54,7,0,9.31,clear sky,0.0,0.0
73,Nanortalik,GL,2020-03-01 16:40:58,60.14,-45.24,20.77,57,0,34.25,clear sky,0.0,0.0
74,Ilulissat,GL,2020-03-01 16:40:58,69.22,-51.1,-11.2,47,0,4.7,clear sky,0.0,0.0
75,Elizabeth City,US,2020-03-01 16:40:58,36.29,-76.25,46.4,41,1,3.36,clear sky,0.0,0.0
76,Si Bun Ruang,TH,2020-03-01 16:40:58,16.97,102.28,77.77,56,17,1.86,few clouds,0.0,0.0
77,Castro,BR,2020-03-01 16:40:58,-24.79,-50.01,71.35,83,19,3.6,light rain,2.38,0.0
78,Bellefontaine,US,2020-03-01 16:36:45,40.36,-83.76,44.01,59,1,16.11,light rain,0.0,0.0
79,Santa Maria Do Suacui,BR,2020-03-01 16:40:59,-18.19,-42.41,76.3,90,87,4.21,moderate rain,4.13,0.0
80,Puerto Ayora,EC,2020-03-01 16:40:59,-0.74,-90.35,86.0,66,20,11.41,few clouds,0.0,0.0
81,Katsuura,JP,2020-03-01 16:40:59,35.13,140.3,52.0,76,75,21.92,light rain,0.0,0.0
82,Hilo,US,2020-03-01 16:41:00,19.73,-155.09,64.4,88,75,3.36,light rain,0.0,0.0
83,Namibe,AO,2020-03-01 16:41:00,-15.2,12.15,75.38,80,4,14.34,clear sky,0.0,0.0
84,Ngaoundere,CM,2020-03-01 16:41:00,7.32,13.58,89.6,11,96,9.17,overcast clouds,0.0,0.0
85,Upernavik,GL,2020-03-01 16:41:00,72.79,-56.15,-25.37,83,0,3.2,clear sky,0.0,0.0
86,Chuy,UY,2020-03-01 16:41:00,-33.7,-53.46,83.43,42,0,10.16,clear sky,0.0,0.0
87,Manadhoo,MV,2020-03-01 16:41:01,5.77,73.38,82.47,76,35,12.41,scattered clouds,0.0,0.0
88,Novyy Urgal,RU,2020-03-01 16:41:01,51.07,132.56,1.76,98,45,1.97,scattered clouds,0.0,0.0
89,Sangar,RU,2020-03-01 16:41:01,63.92,127.47,-9.26,88,0,2.8,clear sky,0.0,0.0
90,Port Washington,US,2020-03-01 16:40:51,40.83,-73.7,39.0,40,20,14.99,few clouds,0.0,0.0
91,Vila Velha,BR,2020-03-01 16:41:01,-20.33,-40.29,84.2,74,40,12.75,scattered clouds,0.0,0.0
92,Lavrentiya,RU,2020-03-01 16:41:02,65.58,-171.0,-7.89,81,0,7.02,clear sky,0.0,0.0
93,Holzminden,DE,2020-03-01 16:41:02,51.83,9.45,50.0,77,75,11.41,broken clouds,0.0,0.0
94,Fortuna,US,2020-03-01 16:41:02,40.6,-124.16,45.0,47,1,13.87,clear sky,0.0,0.0
95,Waipawa,NZ,2020-03-01 16:41:02,-41.41,175.52,60.8,77,100,3.36,overcast clouds,0.0,0.0
96,Lorengau,PG,2020-03-01 16:41:03,-2.02,147.27,81.77,83,99,10.11,moderate rain,3.94,0.0
97,Muros,ES,2020-03-01 16:41:03,42.78,-9.06,59.0,93,90,10.29,light rain,0.0,0.0
98,Esperance,AU,2020-03-01 16:39:11,-33.87,121.9,59.0,77,90,11.41,overcast clouds,0.0,0.0
99,San Andres,CO,2020-03-01 16:38:15,12.58,-81.7,84.2,74,20,12.75,few clouds,0.0,0.0
100,Albany,US,2020-03-01 16:41:03,42.6,-73.97,33.01,39,20,11.41,few clouds,0.0,0.0
101,Tupik,RU,2020-03-01 16:41:04,54.43,119.93,-3.26,98,96,3.13,overcast clouds,0.0,0.0
102,Saint-Philippe,RE,2020-03-01 16:41:04,-21.36,55.77,80.6,83,40,3.36,scattered clouds,0.0,0.0
103,Provideniya,RU,2020-03-01 16:41:04,64.38,-173.3,-8.21,88,0,13.87,clear sky,0.0,0.0
104,Saint-Louis,SN,2020-03-01 16:41:04,16.33,-15.0,100.4,8,11,2.24,few clouds,0.0,0.0
105,Vao,NC,2020-03-01 16:41:05,-22.67,167.48,79.68,84,100,12.21,overcast clouds,0.0,0.0
106,Nikolskoye,RU,2020-03-01 16:41:05,59.7,30.79,36.0,100,75,15.66,broken clouds,0.0,0.0
107,Murray Bridge,AU,2020-03-01 16:41:05,-35.12,139.27,64.0,98,100,4.0,overcast clouds,0.0,0.0
108,Srednekolymsk,RU,2020-03-01 16:41:05,67.45,153.68,-3.15,93,8,5.68,clear sky,0.0,0.0
109,Skibbereen,IE,2020-03-01 16:41:06,51.55,-9.27,44.6,70,20,12.75,few clouds,0.0,0.0
110,Touros,BR,2020-03-01 16:41:06,-5.2,-35.46,77.0,88,75,11.41,shower rain,0.0,0.0
111,Marawi,PH,2020-03-01 16:41:06,8.0,124.29,78.01,83,75,0.78,broken clouds,0.0,0.0
112,Lebu,CL,2020-03-01 16:41:06,-37.62,-73.65,73.99,50,3,5.03,clear sky,0.0,0.0
113,Thompson,CA,2020-03-01 16:41:06,55.74,-97.86,15.8,92,90,10.29,light snow,0.0,0.0
114,Kapaa,US,2020-03-01 16:41:07,22.08,-159.32,69.8,83,75,21.92,heavy intensity rain,0.0,0.0
115,Beloha,MG,2020-03-01 16:41:07,-25.17,45.05,67.06,86,25,9.1,scattered clouds,0.0,0.0
116,Sirvintos,LT,2020-03-01 16:41:07,55.05,24.95,44.6,81,75,11.41,broken clouds,0.0,0.0
117,Ukiah,US,2020-03-01 16:41:07,39.15,-123.21,48.0,80,90,3.36,overcast clouds,0.0,0.0
118,Moree,AU,2020-03-01 16:41:07,-29.47,149.85,73.4,64,46,8.66,scattered clouds,0.0,0.0
119,Teknaf,BD,2020-03-01 16:41:08,20.86,92.31,59.2,86,0,1.14,clear sky,0.0,0.0
120,Baracoa,CU,2020-03-01 16:41:08,20.35,-74.5,72.01,73,91,17.63,light rain,0.25,0.0
121,Victoria,HK,2020-03-01 16:39:10,22.29,114.16,75.0,73,19,2.24,few clouds,0.0,0.0
122,Mogadishu,SO,2020-03-01 16:41:08,2.04,45.34,81.12,78,86,22.53,overcast clouds,0.0,0.0
123,Poum,NC,2020-03-01 16:41:08,-20.23,164.02,82.4,82,100,14.52,light rain,0.44,0.0
124,Tasiilaq,GL,2020-03-01 16:41:09,65.61,-37.64,21.2,73,100,5.82,light shower snow,0.0,0.0
125,Fort Nelson,CA,2020-03-01 16:41:09,58.81,-122.7,-0.4,77,75,2.24,broken clouds,0.0,0.0
126,Cabo San Lucas,MX,2020-03-01 16:40:18,22.89,-109.91,84.0,29,5,4.7,clear sky,0.0,0.0
127,Coquimbo,CL,2020-03-01 16:41:09,-29.95,-71.34,64.4,77,75,8.05,broken clouds,0.0,0.0
128,Sambava,MG,2020-03-01 16:41:09,-14.27,50.17,74.01,96,28,2.93,light rain,1.0,0.0
129,Senno,RU,2020-03-01 16:41:10,59.53,33.92,34.77,98,100,12.1,snow,0.0,1.81
130,Zhoucheng,CN,2020-03-01 16:41:10,35.91,116.31,46.0,28,96,1.86,overcast clouds,0.0,0.0
131,Bethel,US,2020-03-01 16:41:10,41.37,-73.41,37.0,30,1,11.41,clear sky,0.0,0.0
132,Isangel,VU,2020-03-01 16:41:10,-19.55,169.27,78.57,84,97,9.89,overcast clouds,0.0,0.0
133,Nantucket,US,2020-03-01 16:41:11,41.28,-70.1,36.0,46,1,14.99,clear sky,0.0,0.0
134,Sivas,TR,2020-03-01 16:41:11,39.79,37.0,26.6,86,75,21.92,broken clouds,0.0,0.0
135,Salalah,OM,2020-03-01 16:37:04,17.02,54.09,77.0,73,75,5.82,broken clouds,0.0,0.0
136,Katherine,AU,2020-03-01 16:41:11,-14.47,132.27,78.8,94,100,4.05,light rain,0.44,0.0
