City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
2,Port Alfred,ZA,69.01,-33.59,26.89,clear sky,
5,Georgetown,MY,84.2,5.41,100.34,few clouds,
8,Hermanus,ZA,73.99,-34.42,19.23,scattered clouds,
10,Canico,PT,69.01,32.63,-16.85,scattered clouds,
15,Labuhan,ID,75.16,-6.88,112.21,overcast clouds,
16,Cayenne,GF,84.2,4.93,-52.33,broken clouds,
17,Mahebourg,MU,81.0,-20.41,57.7,scattered clouds,
19,Saldanha,ZA,78.8,-33.01,17.94,clear sky,
25,Airai,TL,68.07,-8.93,125.41,overcast clouds,
28,Meulaboh,ID,85.5,4.14,96.13,broken clouds,
31,Kruisfontein,ZA,67.32,-34.0,24.73,clear sky,
32,Bredasdorp,ZA,73.99,-34.53,20.04,scattered clouds,
33,Puerto Escondido,MX,84.2,15.85,-97.07,clear sky,
37,Carnarvon,AU,78.8,-24.87,113.63,clear sky,
40,Marsh Harbour,BS,67.3,26.54,-77.06,few clouds,
41,Metu,ET,72.07,8.3,35.58,overcast clouds,
45,Cape Town,ZA,71.01,-33.93,18.42,scattered clouds,
46,Port Elizabeth,ZA,73.4,-33.92,25.57,clear sky,
49,Eyl,SO,77.49,7.98,49.82,clear sky,
52,Nelson Bay,AU,73.99,-32.72,152.15,broken clouds,
53,Vaini,TO,78.8,-21.2,-175.2,few clouds,
56,Atuona,PF,82.0,-9.8,-139.03,scattered clouds,
57,Gizo,SB,76.48,-8.1,156.84,clear sky,
58,Akyab,MM,70.48,20.15,92.9,clear sky,
59,Sechura,PE,75.58,-5.56,-80.82,overcast clouds,
64,Bahia De Caraquez,EC,78.8,-0.6,-80.42,light intensity drizzle,
65,Matara,LK,76.46,5.95,80.54,few clouds,
69,Miraflores,MX,75.2,19.22,-98.81,clear sky,
72,Taoudenni,ML,84.54,22.68,-3.98,clear sky,
76,Si Bun Ruang,TH,77.77,16.97,102.28,few clouds,
80,Puerto Ayora,EC,86.0,-0.74,-90.35,few clouds,
83,Namibe,AO,75.38,-15.2,12.15,clear sky,
84,Ngaoundere,CM,89.6,7.32,13.58,overcast clouds,
86,Chuy,UY,83.43,-33.7,-53.46,clear sky,
87,Manadhoo,MV,82.47,5.77,73.38,scattered clouds,
91,Vila Velha,BR,84.2,-20.33,-40.29,scattered clouds,
99,San Andres,CO,84.2,12.58,-81.7,few clouds,
102,Saint-Philippe,RE,80.6,-21.36,55.77,scattered clouds,
105,Vao,NC,79.68,-22.67,167.48,overcast clouds,
110,Touros,BR,77.0,-5.2,-35.46,shower rain,
111,Marawi,PH,78.01,8.0,124.29,broken clouds,
112,Lebu,CL,73.99,-37.62,-73.65,clear sky,
114,Kapaa,US,69.8,22.08,-159.32,heavy intensity rain,
115,Beloha,MG,67.06,-25.17,45.05,scattered clouds,
118,Moree,AU,73.4,-29.47,149.85,scattered clouds,
121,Victoria,HK,75.0,22.29,114.16,few clouds,
122,Mogadishu,SO,81.12,2.04,45.34,overcast clouds,
126,Cabo San Lucas,MX,84.0,22.89,-109.91,clear sky,
132,Isangel,VU,78.57,-19.55,169.27,overcast clouds,
135,Salalah,OM,77.0,17.02,54.09,broken clouds,
137,Bambous Virieux,MU,80.6,-20.34,57.76,scattered clouds,
140,Juigalpa,NI,84.2,12.11,-85.36,scattered clouds,
141,Porto Novo,BJ,89.6,6.5,2.6,few clouds,
147,Bubaque,GW,81.48,11.28,-15.83,scattered clouds,
148,Sur,OM,69.35,22.57,59.53,clear sky,
150,Buchanan,LR,83.68,5.88,-10.05,few clouds,
151,Dubti,ET,88.66,11.74,41.09,clear sky,
157,Sao Joao Da Barra,BR,86.0,-21.64,-41.05,broken clouds,
158,Kantang,TH,72.79,7.41,99.52,broken clouds,
159,Bandarbeyla,SO,77.4,9.49,50.81,overcast clouds,
161,Gutierrez,CO,86.0,4.25,-74.0,haze,
163,Le Port,RE,80.6,-20.94,55.29,overcast clouds,
164,Marzuq,YE,68.16,14.4,46.47,clear sky,
168,Partanna,IT,68.0,37.73,12.89,few clouds,
171,Dingle,PH,72.41,11.0,122.67,clear sky,
